id,text,label,dataset,text_en
yt_8,थुक्क कुकुर नालाएक हरु हो ।,1,youtube,The dog is a dog that is not a dog.
yt_1173,डिआई जि त झुटो बोल्दै छँस ज्ञानेन्द्र शाई लाई तिमि हरु ले मिलेर कुटे को हो ।,0,youtube,DI who is lying is a genius who has to be cut off from them.
yt_29,इतिहास बिरसेर नेताकाे चाकरी मा बाेलने साहि तिमराे अब ५ साल हाे ।,1,youtube,The history of Birser Neta's cabinet is now 5 years old.
yt_412,अब कमेन्ट गर्दा नै समातेर देलान् की भन्ने डर छ ।,1,youtube,Now I'm afraid they'll catch me while I'm comming.
yt_1535,"सत्यलाइ जितेर जस् ले बाटो काट्छ तेस् को हामी खुट्टा काट्छौ तपाईं सत्य को बाटो मा लम्किरहनु होला रबि सर मेरो समर्थन छ , ।",0,youtube,"You must have been stepping on the path of truth, Rabbi Sir, I have my support ."
yt_505,सबै चाेरै चाेर लुट्न सके लुट कान्छा लुट्न सके लुट अरु देश मा पाईदैन नेपालमै हाे छुट ।,0,youtube,"All the rich can rob the poor, the younger can rob the poor, the poor cannot find in other countries, in Nepal only."
yt_559,यो बिच मा बस्ने कुकुर त्यही काङ्ग्रेस को दलाल हो साले बचाउ मात्रै गरेर बोल्ने साला कुत्ता ।,0,youtube,This dog that lives in the middle is the same Congressman who is the only talking dog who can save the world.
yt_1286,"धमला हावा , डाः भिमार्जुन सर 100% सहि कुरा अब याे संविधान नै फाल्नु पर्छ ।",0,youtube,"Dhamma Hawa, Dr. Bhimarjun Sir 100% correct now the Constitution must be thrown out."
yt_1428,मेयर सयेब को काठमाडौं मा खाचो छ. काठमाडौं सम्हाल्नु आउनु पार्‍यो ।,0,youtube,I have brought Mayor Sayeb to Kathmandu to take over Kathmandu.
yt_1480,कम्युनिस्ट हरू मुक्त्त नेपाल बनाउन पर्याे ।,1,youtube,Communists have tried to create a free Nepal.
yt_847,यस्तो त पुलिस को हाकिम साला ।,0,youtube,This is how the police were handled by the chief.
yt_730,यो साला कुकुर पुन्णु लाइ लात हानेर आउट गर्नु पर्छ कुकुर बलतकारि यइ हो ।,0,youtube,This dog must be pulled out by the dog's mouth.
yt_1443,युवा ले देश चलाउनु पर्छ अब नेपाल मा युवाकाे शात्तिकाे खाचो छ अब अझै अगाडि बढाउनुपर्छ अब नेपाल मा ।,0,youtube,"Now in Nepal, youth must lead the country, now in Nepal, youth must go further."
yt_646,ऋषि धमला पार्टी को जुठो खाने भतुवा कुकुर हाे 100% थुक्क चाेर ।,0,youtube,The Rishi Dhamla Party's dog is 100% stumped.
yt_113,Well come छ हाम्रो देश नेपाल मा ।,0,youtube,"Well come on, our country is in Nepal."
yt_1635,यो पुलिस हासिहासी बोले को छ ए लाई सजाए हुनुपर्छ कुरा लुकाएर का पुग्छ हामी पनि रगत को खोली बगाउन तयार हामी छ्म ।,0,youtube,"The police must be decorated with laughter and laughter, and if we hide the truth, we are ready to shed blood too."
yt_834,थुक्क चुतिया हरु हो लाज सरम छैन दुबै जना चुतिया भ्रष्टाचार को नाइके हौ ।,0,youtube,Both of them are not ashamed of corruption.
yt_890,भालु आइमाई चाहिने बेला मा मज्जा ले थाप्ने पछि बलात्कार भन्ने ।,1,youtube,Bear imai wanted to rape after enjoying the belly.
yt_27,अबचै नेपाल का प्रधानमंत्री को सातोजानेभो हैं रबी जि र भबिसै मा चै गरेरै देखाउनु परने हुनछ है रबि जि ।,1,youtube,"Right now, the Prime Minister of Nepal is satoshi Rabi Ji and the Bhabisai is being shown by chat."
yt_1140,गलत् गर्ने पत्रकार अनी घुस्खोरि लाई हान्नै पर्छ ।,0,youtube,The journalist who made the mistake of attacking Annie Goskhory should be punished.
yt_167,"392 Dislikes Must be fan of खेम गुल्ले भन्डारी , ठिस मुकुन्दे एन्ड दिल ठिसानी मगर 🤣🤣🤣 ।",1,youtube,"392 Dislikes Must be a fan of Khem Gulle Bandari, Nice Mukunde and heart of thissani but 🤣🤣🤣."
yt_1690,सबै चिज मा बिजुली प्रयोग गरी कुलमान घिसिङ सर लाई सहयोग गरौँ ।,0,youtube,Let us use electricity in all things and cooperate with the total Ghising Sir.
yt_1432,कालो कोट लाउने भाइ ले सहि कुरा भन्नुभाछ सबै ले बुझ्नुपर्छ ।,0,youtube,Everyone should understand what is right for a brother in a black coat.
yt_1487,महारानी जि ले मजाक गर्नु हुदैन थ्यो कसै को कम्जोरी मा ।,0,youtube,The Queen did not joke about anyone's compulsion.
yt_1175,ग्यानेन्द्र शाही लाइ किन कुटपिट गर्यो जवाफ दे ।,0,youtube,Answer why Gyanendra Shah was beaten.
yt_1164,नकुटे को भए खुट्टा कसरी भाँचियो शरीर भरि निल डाम कसरी आयो ।,0,youtube,How the leg broke when the leg was bruised and the body was covered with a blue thorn.
yt_1643,जनता जस्तै साधारण मेयर अब को प्रधानमन्त्री हुनु यो मुलुक को खाचो हो ।,0,youtube,A simple mayor like the general public is now Prime Minister and this country is being eaten.
yt_116,याे डिस लाईक गर्ने हरु को हात किरा परेर झरि जा वस ️ ️ ️ ️ ️ ️ ️ ।,1,youtube,Or those who dislike it can be hired by hand to go down the aisle.
yt_1568,रबि सर 1 चोटि पुडासैनी कि श्रीमती लाई पनि दुख को घडी मा गयर भेटी सदासायता देखाइ दिनु भो भनी हजुर को अझ माहानता थपियला कि ।,0,youtube,Rabbi Sir once again asked that the wife should be given more grace to the grandfather to show kindness in the hour of grief.
yt_620,राजा आउ देश बचाउ प्रचन्ड् चोर डाँ का लाई यो देश बाटा भगाऊ ।,0,youtube,Save the king and the country and divide the country by the great thieves.
yt_1196,काठमाडौँ को गुठि संचालन प्राय किसन हरु ले नै गरिराखे को छ भन्ने कुरा भूजनु पर्यो / स्वोर्गद्वारी को समस्या हो भने उतै समाधान गर्नु पर्छ / काठमाडौँ को AC कोठा मा होइन / ।,0,youtube,"It is forgotten that Kathmandu has many of the poorest people in the country / If there is a problem with the Swargdwari, it should be solved / Kathmandu is not in an AC room /"
yt_420,यस्ता झारपाते हरु सगँ राखि Interview लिएर ।,1,youtube,All these people are taking interviews.
yt_573,साला यो साबित्रा सुवेदी रन्डी लाई कालो मोसो लगाएर परिक्रमा गराए को हेर्न यकदम मन छ ।,1,youtube,It is always a pleasure to see this year the Saffra Suvedi Randi is put around the world wearing a black mousse.
yt_1636,यो पार्टी को झोले पत्रकार हो यसलाइ स्पष्टीकरण दिई रहन आवश्यक छैन द्वारिका जि ।,0,youtube,"It is not necessary to explain that the party is a journalist, but that the party is a journalist."
yt_1272,सभ्य नागरिक हुन सिकौ ।,0,youtube,You learn to be civilized citizens.
yt_1699,गाडीत आयो तर सडक स्तरउन्नती गर्न्नु पर्छ ।,0,youtube,"If the vehicle is imported, the road level must be improved."
yt_1647,मेयर साफ 100% सहि बिचार राम्रो नबिराउनु नदराउनु सच्चा जनता हजुर को साथ मा छ्न ।,0,youtube,The Mayor is clear 100% correct opinion Don't be good Don't give up The real people are with you.
yt_194,रबि दाजु को फ्यान को को हुनु हुन्छ यता हाजिर गरम त ।,0,youtube,And the rabbi is a fan of the show because it's hot.
yt_1220,पन्चायत यता का सबै नेता हरु को सम्पत्ति सुदृढीकरण हुनुपर्छ ।,0,youtube,All the leaders of the Panchayats should strengthen their property.
yt_1402,सबै जनता ले मेघा अान्दोलन गरि रवि लामिछाने दाई लाई पापि हरू को खोर बाट बाहिर निकालौ समय यहि हो ।,0,youtube,"It is time for all the people to bring out the sinners from the pit of Megha Andolan, the poor Ravi Lamichhane Dai."
yt_148,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।,1,youtube,"Newar brothers and sisters, rise to save culture, or it will take the government to take Kathmandu and the Newar community to culture-switching cuchesta casso."
yt_267,तिमी पुन्या भाइ कुकुर जस्तै नभुक कम्निस्ट् को नाम् मा क थाहा नभए को कम्निस्ट छौ तिमी हरू ।,1,youtube,"You are a communist again, like a dog, if you don't know the name of a communist."
yt_933,सेवा सुबिधा लिएर आफ्नै देश मा कर तिर्न मरे जस्तो गर्छ धिकार छ मुला हरु चाक मा बम राखेर उडाउने जस्ता नेपाली धमिरा हरु ।,1,youtube,"It is a pity to die in your own country paying for services, but they are Nepalese Dhamiras like bombing with a hand on the shoulder."
yt_1338,पुश्पकमल दाहाल ज्यु एक पटक कमेन्ट हरु हेर्नुस अब लाखौ जनता त के केही हजार जनता पनि यो प्रणाली को पक्ष्य मा छैनन ।,0,youtube,"Look at the comments of the Pushpakmal Dahal Jew once again, now millions of people and even a few thousand people are not in favor of this system."
yt_133,"यो स्तर को अशिष्ट , असहिष्णु , अहम ले मैनत्त मान्छे लाई आफ्नो नेता भन्नुपर्दा नेकपा का नेताकार्यकर्ता लाई दुख लाग्छ कि लाग्दैन होला ?",1,youtube,"Does it hurt the leader of the NECPA to call this level of unfriendly , intolerant , and even more important people their leader ?"
yt_1562,बम्जन् लाई बचाउन को लागी पछी पर्ने सबै लाई छानबीन गरी जेल हाल्नुपर्छ ।,1,youtube,Anyone who retreats to save the Bambaz should be investigated and jailed.
yt_1021,स्पस्ट बोल्ने आफ्नो बुढो को हत्या गरि हालिस त के बोली बुझ्झेस त अब ।,1,youtube,"If you understood the language of the plain-speaking old man who killed his father, you would understand."
yt_687,साले कुकुर पत्रकार चुतिया तो लाई इन्डिया को चिन्ता लाग्यो जानू उतै मुन्टिनु कुकुर ।,0,youtube,"The Indian journalist, who was a dog, was worried about the dog."
yt_1671,सुशील सर आईन्धा यो पुलिस डिपार्टमेन्ट को कुनै पनि मान्छिलाइ ड्रेस मा निम्तो न गर्दिनु होला किना कि इनि हरु ले ड्रेस् को मुल्लेनै थाहा छैना एति गाली गर्ना मन छ कि यो पुलिस भन्ने जन्तु हरु लाई भन्ने साधे नै छैना ।,0,youtube,"Sushil Sir Aisha should not have invited this police department to any dress dress, but to be so abusive that they do not know how to dress is not to say that it is simply a police officer who brings animals."
yt_392,रास्ट्रपति बन्न लायक सपूत ।,0,youtube,A son worthy of becoming the president.
yt_1639,"नाक होइन भ्रष्टाचारि को खुट्टा भाच्नुहोस मेयर साब , , , ।",1,youtube,"Don't be a nose-dick to the corrupt, but step on the wrong foot, Mayor Sir."
yt_956,वल्त्कार यि वम दिदी वहिनि ले गरे का हुन र ?,1,youtube,Why did the world take these things away from them?
yt_1274,सर्प नि मरोस् लाठी नि नभाँचियोस् तेसरी कदम चालियोस् ।,0,youtube,"The serpent will die and the stick will be broken, so that the third step is taken."
yt_332,सक्यो सक्यो यी पापि हरु ले जुन्सु कै कुना बाट लुछी लुछी भ्रस्टाचार गरे ।,1,youtube,These sinners may have corrupted themselves from the very beginning.
yt_105,यो डा केसी को पनि काम छैन खाली आलोचना मात्रा गर्छ सिन्का भाच्दैन ।,1,youtube,It doesn't even work for Dr. Casey to be a critic who doesn't get enough criticism.
yt_245,भीमाअर्जुन सर को कुरा सुन्न नपाए को धेरै भए को थीयो धेरै राम्रो सोच ।,0,youtube,It was a very good thought to have been too much to listen to Sir Bhimarjuna.
yt_198,"होइन , हाम्रो देश मा युवराज कोइरालाज्यू जस्ता सपूत पनि रहेछन् , धन्य भएँ आज उहाँ का कुरा सुनेर ।",0,youtube,"No, there are sons in our country like Prince Koiralaju, and we are blessed to hear him today."
yt_952,यो 3 जना लाई जिउँदै जलाउनु पर्ने बोली ।,1,youtube,It was a bid that three people should be burned alive.
yt_775,यो रन्डी को छोरो अरिंगाल पाठक लै चार पाटे मुडेर खुला मंच मा उल्टो पारेर झुन डाउ न पर्छ ... ।,1,youtube,This Randy's son Aringale Reader should not be turned around on an open stage and turned upside down.
yt_259,यो झोले पाठक ओली र प्रचण्ड को तलुवा चाटेर झुट कुरा गर्छ ।,1,youtube,This bag of books is lying to the reader and the big guy.
yt_424,यी भ्रष्ट दलाली अनि माफिया राष्ट्रघाती नेता हरु का दिन गए ।,1,youtube,These corrupt gangs and mafia nationalistic leaders are dead.
yt_1287,"रिसि १ टा प्रश्न गर तर खरो , बा की अरुलाइ बोल्न देउ ।",0,youtube,"If you ask a question, then let Arly speak."
yt_362,यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।,1,youtube,"If all this is a ploy by the mafia, then the government of Nepal is also targeting all three."
yt_222,"hats off , सल्युट यु सर ।",0,youtube,"off your hats , hello sir ."
yt_1195,गूठी को जज्गा मा घर छ भने मान्छे पैसा दिए र बिदा गरिदेउ गग्जा दिने हैन ।,0,youtube,"If the goti has a house in a house, people give him money and leave, but not give him a holiday."
yt_1555,यो राम बहादुर बोम्जन लाई कार्वाही हुनु पर्छ ।,1,youtube,This should be a response to Ram Bahadur Bomjan.
yt_1234,त्यो दिन आउन नदिन सम्पत्ति सुदि करन आयोग मा निस्पक्ष जनता ले माने को मानिस नियुक्ति गरिदिन पहल गर्न अनुरोध गर्दछु ।,0,youtube,"That day will not come, and I urge the people of the country to take the initiative to appoint a man to the Property Repair Commission."
yt_124,हाम्रो आवाज बनेर फेरि रबि सर लाई कार्यक्रम मा देख्न याउदा ज्यादै खुशी छु ।,0,youtube,It is a pleasure to see Rabbi Sir again on the programme as our voice.
yt_1444,"सोच्ने कुरो होइन सिदै प्रधानमन्त्री मा जानुपर्छ अब , सबै रोजाई हजुर प्रधानमन्त्री हुनु हो , , ।",0,youtube,It is not a matter of thinking but of becoming Prime Minister.
yt_1685,कुलमान रबिदाजु महजाेडि जस्ता महान ब्यक्ति भय भने नेपाल मा केही हुन्छ कि अब बाटो पनि राम्रो बनाउनुपर्या हजुर ।,0,youtube,A great person like the Khulman Rabidaju Mahzaedi feared that something would happen in Nepal that would make the road even better.
yt_1189,बिहे गर्न खोजे को रहेछ सुद्दी नगर्ने भए पछि मिडिया मा यौन हिंग्सा हुने बेला सम्म चाहि मिलिहाल्छ की भनेर चुप बसे को रहेछ ।,1,youtube,Those who are trying to get married after being sober are silent until they find out if there is sexual harassment in the media.
yt_784,खाते नेतागिरि गर्ने हरु जति सबै लाई कुनै कार्यक्रम राखेर समेलन गराउ त्यस पछि बम बिस्फोट गराएर सबै लाई ध्वस्त पार्न मै ले बम बिस्फोट गराएर आफ्नो ज्यान दिन ससक्छु ता की मेरा सन्तति ले पनि नेपाली हु भनेर गर्व गर्न सकुन ।,0,youtube,"As many as the leaders of the party can get everyone to come together by holding a program, then blowing up a bomb and destroying everyone, I can blow up a bomb and kill myself so that my children can be proud to be Nepalese."
yt_814,जाबो एउ टा video को बारे मा जवाफ दिन नसक्ने dig चोर साले !,0,youtube,You are a thief who cannot answer a question about a video!
yt_188,"धन्यबाद निमेस जी , समसामायीक बिषय मा तत्काल जनता लाई जानकारी गराउनु भए को मा ।",0,youtube,"Thank you Nimmes Ji, for informing the public immediately on the current issue."
yt_848,घटना घटे ५ ठाउ मा हात भाचने भिडन्त भने रडिकाे छाेरा भाेलि पुलिस जागिर खाने हाेस भने रामाे कुरा गर रनडिकाे छाराण ।,1,youtube,"There were five handshakes in the five locations of the incident, while the police were alerted to the incident, while the police were alerted to the incident."
yt_356,यी चोर नेता ले जे गरे पनि माफ दिने यी भ्रष्टाचार नेता लाई जुनसुकै party को भए पनि अब जनता ले सडक मा तानेर ल्ययेर आगो लाउनु पर्छ !,1,youtube,"These leaders, who forgive the thieves for whatever they do, these corrupt leaders, who have a passion for whatever party they are, must now drag the people into the streets and set the fire to the walls!"
yt_1597,यो सुर्य पाठक लाई तह लगाउन त डाक्टर प्रेम सिंह बस्नेत ज्यु लाई बोलाए को भए हुन्थ्यो ।,0,youtube,"If this had been done to the Sunni reader, then Dr. Prem Singh would have called upon the living Jew."
yt_1632,"यी बमवाला पद लोलुप , हत्यारा , आतंककारी हरु ले कि हतियार समर्पण गरेर शान्तिपूर्वक वार्ता मा आउनु पर्छ , होइन भने यिन लाई पनि चाक मा बम लगाएर पड्काउनु पर्छ ।",0,youtube,"These bombers are the post of greedy, murderers, terrorists who must surrender their weapons and enter into peaceful negotiations, otherwise they too must be proven by a bombing of the machinery."
yt_183,दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।,1,youtube,The broker-dealer leader is a self-motivated complaint from the government.
yt_702,यो कुकुर पत्रकार चुतिया बोल्ने शैली सोध्ने प्रश्न्न एक दाम गालत हो यस्ता पत्रकार हुनु भान्दा नहुनु बेस हो साले चोर पत्रकार ।,0,youtube,This dog journalist's way of talking is to ask questions about a price heaped on a reporter who is not a thief.
yt_1497,कुनै पनि विषय सरकार वा रास्ट्रपति विरुद्ध अफवाह फैलाउने ढंग ले समाचार नबनाउन youtube वाला हरु लाई सचेत गराउन चहान्छु ।,0,youtube,I want to warn YouTube users not to spread rumors about any topic that is against the government or the president.
yt_186,सबै भ्रष्टाचारी हुन हामी जनताकाे रस चुसेर बस्ने हुन ।,1,youtube,We are all corrupt and we are all people who are sucking the people's interest.
yt_931,कुल मान जि तापाई चिन्त नगर्नु जस् ले जस् ले बिजुली को बिल तिर्दैन त्यो मान्छे कुता हरु लाई म एक एक मरि दिन्छु ।,1,youtube,"Don't worry about the total value of the heat, but I'll give the dogs a one-off to the man who doesn't pay the electricity bill."
yt_996,निउ खोज्ने जती सब् लाई दिनुपर्छ दनक ।,0,youtube,The one who seeks the new must give it to everyone who seeks it.
yt_1267,लाएन कात्छौ भन्दा भबिस्य को कुरा भनेर हास्ने चोर लाई चोरी को मुद्दा हाल्नु कुल्मान सर हामी हजुर को साथ मा छौ ।,0,youtube,"To sue a thief for theft for having laughed at the prophet rather than the prophet, Mr. Kulman, we are with Grandfather."
yt_1316,पान्दे लाइ बोल्न दे न हो धमला ।,0,youtube,The Pandavas are not allowed to speak.
yt_1177,रेशम चौधरी ले भाला रोपे को कारण यहि रहेछ ।,1,youtube,This is the reason why Silk Chowdhury Le Bala is planted.
yt_325,याे पाठक जन्तु कुन दुनियाँ मा छ ।,1,youtube,Or what kind of world is there in the reader animal.
yt_48,आखा को अगाडि झुट न बोल क्या पुलिस तिमी हरू लाई किन भाला किन जलाउँछन् भन्ने त बल्ल बुजिन्दै छ ।,1,youtube,"Don't lie to the police, the police understand why they burn you."
yt_1478,गगन थापा सबै भन्दा पहिला मेरो जय नेपाल तपाईं एउ टा भर पर्दाे र युवा नेता हाे अाशा काे दियाे हाे त्यसैले मेराे शुजाभ तपाई लाई भ्रष्टाचार र बेथिति बारे मा खुलेर बाेल्नुस जाे सुकै हाेस त्यस मा शेरे भएनि कारबाइकाे माग गर्नुस तब अाउने छ पहिलाे पाटि काग्रेश ।,0,youtube,Gagan Thapa first of all My Jai Nepal you are a full screen and a young leader haay asha kaike haaye so my shujab you are openly talking about corruption and misery go dry has been in it were in it were in the demand of the carbaika then there will be the first patti paper.
yt_1046,कुरा गर्‍यो मुखा हानौ जस्तो हामी आग्रा कुरा गर्छौ पुन्य गाग्रा कुरा गर्छ ।,0,youtube,"The word is mouth-to-mouth, just as we speak in the word of God."
yt_514,"ओई माकुरि ति तिम्रा शक्तिशाली आयोग मा तिमी हरु कै झोल , हली , भतुवा राख्छौ कि अरु बाहिर को Dr सुरेन्द्र केसि, पाईलट बिजय लामा, अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग मा तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मा मुतेर सुकाईदीए हुन्छ ।",1,youtube,"O Makuri, in your powerful commission you keep others outdoors like Dr. Surendra Casey, pilot Bijay Lama, Arjun Subedi in your commission if you keep only your own in your commission, the commission will be sunburned."
yt_772,"यो कस्तो पत्रु मान्छे , नालायक धिक्कार होसा तेरो जीवन त ?",0,youtube,"What kind of a bastard , worthless damn , is your life ?"
yt_1052,यो बलात्कारी धोति लाई नै पहिलो फांसी दिएर बलात्कारि हरु लाई फांसि को सजाय हुने कानुन बनाउन पर्यो !,1,youtube,This rapist was the first to be hanged and the rapists had to be executed by hanging!
yt_310,पुण्य झोले मुदाबाद केपी र प्रचण्डे को झोले कुकरा ।,1,youtube,The good bags are buttered KP and the bad bags are cooked.
yt_968,ज्यान मार्ने पर्चन्ड अजई मान्छे मार्ने कुरा गरछ ।,1,youtube,The one who killed Perchand Ajai is talking about killing people.
yt_390,"हामी ले गगन थापा जि को जस्तो भासण त कति सुन्यौं कति तर एउ टा कुरा नेपाली ले बुझुन हहि ले विशेष गरिकन एउ टा ले अर्को को खुट्टा तान्ने र पाती , जाति , धर्म , को अनावश्यक बिसय बस्तु उथाएर नेपाली नेपाली बिच लदाउने खेल हुदैछ !",1,youtube,"We have heard how many times Le Gagan Thapa has spoken like this, how many times a word is understood in Nepali, especially when it is a game of dragging and passing each other's feet and legs, caste, religion, and unnecessary merchandise between Nepali Nepalese and picking up and carrying it !"
yt_19,राजा ले तँ यस्तो भस्त्रचार तँ गरेकोे थिएन ।,0,youtube,The king had never committed such a fornication.
yt_535,खाते मुजि हरु बिजुली चलाउने नाफा कमाउने अनि पैसा चहिँ नतिर्ने ?,1,youtube,Will the electricity generators make a profit and pay the money ?
yt_640,ॠषि धमला पागल हाे हावाकाे सब लाई थहा छ कस ले दिएकाे पत्रकारकाे नक्कली लैसन ... ।,0,youtube,षि धमला crazy hey hawai'e everyone is fed up with the fake journalist's lace ...
yt_1579,kp राजीनामा देउ रबि लाई pm देउ ।,1,youtube,Leave office and give Rabi a PM.
yt_1364,डिस लाइक गर्ने सबै लाइ देश निकाला गर्नु पर्छ ।,1,youtube,All dislikes must be deported.
yt_65,निखिल नेपाली नः 1 दिराे साथै बिचार पनि माहान छ ।,0,youtube,The Nepali language is not only great but also the idea is great.
yt_1468,विवेक प्रयोग गर भाइ ।,0,youtube,"Use your conscience, brother."
yt_237,dislike हर्नेभरी बलात्कारि हुन चोर डाँका का सन्तान हुन् ।,1,youtube,The rapists are the children of thieves and robbers.
yt_1490,हेल्लो महारानी जी तीन करोड को हेलिकप्टर किन्नु भन्दा कान को उपचार गराउनुहोस् ।,0,youtube,"Hello, Empress, please treat the ear rather than buy a helicopter for three crore."
yt_1596,"स्वर्गीय श्री मार्क्स तथा श्री लेलिन को जन्मभूमि मा हिउँ पर्दा , नेपाल मा कालो-काम्लो ओढ्ने लालबुझकट हरु सित होशियार !",1,youtube,"Beware of the snow curtains in the land of birth of the former Mr. Marx and Mr. Lenin, the red-blue-capped red-haired cloaks in Nepal!"
yt_1248,एक पटक यो अन्तरबार्ता हेर सुरेन्द्र कमरेड ।,0,youtube,Once this interview was watched by Surendra Kamed.
yt_120,नेकपा को छिटै पतान भको हेर्न चाहने हरू यत हाजीर हौ ।,1,youtube,Those who want to see the Necpa fall soon because you are present.
yt_941,धोबी हान्नुपर्ने गु हरुलाइ ✊✊ ।,0,youtube,The shower is to be hung.
yt_1252,राम्रो काम गर्दै जानुहाेला 100% साथ समर्थन छ रबिन्द्र सर ।,0,youtube,You are doing a good job and are 100% supported by Rabindra Sir.
yt_271,सबै मिडिया तिर हेर्दा जनता को समर्थन मेयर साब लाई ९९% देख्छु ... good ।,0,youtube,"Looking at all the media, I see 99% of the public support for Mayor Saab ... good ."
yt_1209,तर शुरूवात संगै कसै को अनुहार नहेरी सहि नतिजा राष्ट्र को पक्ष मा चाडो आउनु पर्यो ।,0,youtube,"But from the beginning, the unfortunate outcome had to be a national one."
yt_239,यो अहिले को ब्यबस्था भन्दा राजसस्था उत्तम छ !,0,youtube,It is now better to have a monarchy than a government!
yt_1126,सर्लाहि प्रहरी ले हात खुट्टा तीन तीन ठाऊ मा भाँच्ने गोलि हानि मार्ने अनि भिडन्त मा मारिए को भनी बिज्ञप्ति निकालि प्रहरी चोखो बन्न खोजे को हो ।,1,youtube,The officer must issue a notice to kill and be killed in the encounter by a shotgun fired from three or more different locations and then be killed in a shootout.
yt_312,साले खाते सोम पान्डे थु ।,1,youtube,The accounts of the Som Pande Thu are kept annually.
yt_507,हाम्रो देश मा सबै दलाल र भर्स्त हरु को मात्र राज हुने भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु ।,0,youtube,All the brokers and merchants in our country were ruled by useless thieves.
yt_912,म पनि बाहुन हु तर यी बाहुन क्षेत्री को नाम मा कलङ्क हरुलाइ चरम यातना दिएर मारिदिए हुन्छ ।,1,youtube,"If I were a Bahu, these Bahu'an sect would be put to death in the name of Ma Kalank Haruli by extreme torture."
yt_405,यो पुन्य गौतमे राम्रो छ भने को त झोले पो रेछ गाठे ।,1,youtube,"This is a good old goatmeal, so if you want to get a bag of yarn, you can do it."
yt_471,पुलिस सग भय को मोबाइल को भिडियो कसरि प्रत्रकार सग पुग्छ तेहि पनि जो रबि लाई मन नपराउने मान्छे सग यो सब रबि सरलाइ फसाउने खेल हो ।,1,youtube,"Police fear is a video game that is played from mobile to video, even if people who don't like Ruby don't like it."
yt_117,सरकारी संयन्त्र का प्रबक्ता हरु को काम भने कै झुट बोल्ने हो ।,1,youtube,The proponents of the governmental system are often lying if they are to be effective.
