id,text,label,dataset
yt_12,पुलिस को कुरा चै झुठो जस्तो लाग्यो है अनि पुलिस को पनि लापरवाही हुँदै आ को छ यो पनि तेस्तै होकि भने लग्छ बा की त चाल खेल होला राजनिती होला है अगाडी अनुसन्धान मा के निस्किन्छ चाल खेल न होस राजनीति न होस सत्ते तथ्थे हुनु पर्छ तेति हो ।,1,youtube
yt_13,म कुनै पार्टी को झोले चै हैन तर ।,1,youtube
yt_14,थुक् का एमाले को गोठालो यस्ता मुला जड्या दलाली डलरे का गोठाला बोल्ने तरिका तेरो यस्ता मुलालाइ नेता चाहिँ कस् ले बनायो ठिक लाई ठिक बेठिक लाई बेठिल भन्न नसक्ने कुपुत्र हरु किना गर्छौ राजनिती बोरु इशाइ को धोती धोयर बस्न यार ।,1,youtube
yt_15,लुट लुट साला हो तिमी हरू को बाउ को सम्पती हो नेपाल लुट तर याद राख चोर भ्रष्टाचारि हरु परित्राणाय साधुनाम बिनासचाय च दुसकृताम ।,1,youtube
yt_16,भन्ने बेला मा राजा को नाम मा भए को सबै सम्पती सरकार को नाम ल्याउनु पर्छ भन्न लाज पचे को नालायेक सरकार ।,1,youtube
yt_17,तिमी चोर हरु ले पुरै बत्ती पनि लिने अनि अहिले आयर बत्ती को बिल दिन्नौ भन्छ चोर हरु चोरी मुद्दा हाल्नु पर्छ ।,1,youtube
yt_18,अब गूठी मा हस्तक्षेप गरिरहे का छन ।,1,youtube
yt_19,राजा ले तँ यस्तो भस्त्रचार तँ गरेकोे थिएन ।,0,youtube
yt_20,रबि दाजु प्रति सलाम छ ।,0,youtube
yt_21,बिश्वासिलो नेपाल प्रहरी आफ्नै काम ले आफै बदनाम हुदैछ भने नेपाली जनता ले बिश्वास गर्ने ठाउँ छैन !,1,youtube
yt_22,कस्ताे चित्न नबुजेकाे गधा हरूकाे कुरा पत्रकार् ले एस्ताे भन्दापनि लाजपचाएर बाेल्छन थुइक्क गधा हाे ।,1,youtube
yt_23,"यी दुई चोर नेता हरू ले तर्क गरे को होइन , यी भ्रष्ट रुए को हुन , यिनि हरु को एक शब्द सहि बोले को छैन ।",1,youtube
yt_24,के नाचे को हौ तेस्तो बरु फरिया उचालेर देखाइ देउ नेपाली यस्तो हुन्छ भनेर जाठी हो ।,1,youtube
yt_25,फरक बिचार का भएता पनि नेपाली राजनिति का अत्यन्तै श्रद्धावान र एक आदर्श व्यक्तित्व ।,0,youtube
yt_26,मेहर सर मन्त्री होस् भन्न चाहने हरू सबै यता हाजिर हौ ?,0,youtube
yt_27,अबचै नेपाल का प्रधानमंत्री को सातोजानेभो हैं रबी जि र भबिसै मा चै गरेरै देखाउनु परने हुनछ है रबि जि ।,1,youtube
yt_28,नेकपा को मुला को PHD पशुपति मा सेलाउन लगे हुन्छ तेरि मा टोक्ने हरु पढाइ को घमण्ड तर बुद्धि भने चाक मुनि रहेछ मुला को !,1,youtube
yt_29,इतिहास बिरसेर नेताकाे चाकरी मा बाेलने साहि तिमराे अब ५ साल हाे ।,1,youtube
yt_30,बिचरा चीन को राश्ट्रपती नेपाल सबै तिर यतिकओ राम्रो रहेछ भनेर भ्रम मा पर्यो होला ।,1,youtube
yt_31,अगाडि बडै जानुहोस हाम्रो फुल सपोट छ र भस्टचारि लाई दायरा मा ल्याउनु पर्यो ।,1,youtube
yt_32,यस्तो राम्रो सोच सबै को भए आज देश निक्कै माथी हुन्थ्यो ( किसान को छोरा कोदालो खनेर खान्छु ) सोच ।,0,youtube
yt_33,सलाम छ द्वारिकालाल चौधरी मेयर ज्यु हजुर जस्तो सबै ठाउ मा मेयर को खाचो छ शतप्रतिशत सहि हुनु हुन्छ मेयर ज्यु ।,0,youtube
yt_34,डिस लाइक गर्ने १०३ जना दलाल भ्रष्टाचारि घुस्याहा हरु ।,1,youtube
yt_35,हजुर हरु सबै प्रती हार्दिक नमन अनि दिपक दाइ को मुस्कान कति राम्रो हौ ।,0,youtube
yt_36,यो लालिगुरास सस्था सुरेन्द्र केही पनि श्याम प्रदेशी जस्तै चोर डाका रछ साले यस लाई छोडनु हुन्न दलाल चोर लाई ।,0,youtube
yt_37,I am with chaudhari✊✊✊ ।,0,youtube
yt_38,यो केशब बडालभन्ने जन्तु लाई कुनै पनि tv च्यानल ले कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन र मन्त्री अर्याल पनि भु माफिया कै पक्ष मा छिन यस्ता पनि मन्त्री !,1,youtube
yt_39,अहिले का सताधारी हरु जति सबैलाइ पद्च्युत नगरी यो देश बाट भ्रष्टाचार कहिले पनि उन्मुलन हुन्न ।,1,youtube
yt_40,Dij को झुट कुरा स्थानीय को अनुसार जानी बुझी मारे को हो भन्ने स्थानीय हरु को भनाई छ ।,1,youtube
yt_41,हुनत हामि लाई हजुर लाई राष्ट्रपती भन्न पनि घिन लाग्नथाल्यो हजुर लाई देखेर होइन हजुर को बानी व्यवहार देखेर बोल्ने शैली देखेर हजुर ले गरे को सम्पुर्ण काम् देखेर धिक्कार लागेर आउच ।,1,youtube
yt_42,ज्योति वानियाँ र कुलमन लाई हेर अनि ती 2 तालु लाई हेर अनि तिनि हरु का कुरा सुनेर रगत उम्लन्छ यार तिर्दैनै रे सर्ब साधारन जनता को लाइन काटेर मज्जा ले ऊध्योग सन्चालन गरेर नाफा लिन आज आएर तिर्दैनै भन्ने खाए पछि फाल्न नजान्ने मुला लाई के भन्ने चोर दलाल ठग ।,1,youtube
yt_43,मृतात् मा लाई हार्दिक श्रद्धासुमन र सम्पूर्ण का परिवारजन प्रति हार्दिक समवेदना प्रकट गर्दछु साथै परिवारजन मा धैर्यधारण गर्ने शक्ति मिलोस् ।,0,youtube
yt_44,"याे जालि हरु , फटाहाहरुकाे कुरा यस्तै हाे !",1,youtube
yt_45,हौ यो आईमाई लाई कस् ले कति पैसा दिए छ र आफ्नो इज्जत को लिलामी गर्दैछ ?,1,youtube
yt_46,पत्रकार को म लाई प्रस्न सोद्ने शैली सारै मन पर्यो एकदम ठिक छ.. .,0,youtube
yt_47,पठक ले भटेर आ को जनता सबै नेता का झन्डे र झोले हो ।,1,youtube
yt_48,आखा को अगाडि झुट न बोल क्या पुलिस तिमी हरू लाई किन भाला किन जलाउँछन् भन्ने त बल्ल बुजिन्दै छ ।,1,youtube
yt_49,२ जान साही लगियो २ जान चै चोर हो ।,0,youtube
yt_50,पेल्छ केटो ले मज्जा लाग्छ !,0,youtube
yt_51,रत्नपार्क मा ब्यपार गर्ने हैसियत छैन भनेर अाफ्नाे पदकाे मर्यादा नै थाहा छैन तलाइ बाधेर घासहाल्नु पर्ने ।,1,youtube
yt_52,सलाम कुल्मान सर हजुर् को पछी २ करोड ९० लाख जनता छ ईनी हरु को असुल गर्नुपर्छ ।,0,youtube
yt_53,जति फतफताय पनि केही हुन्या वाला छैन ।,1,youtube
yt_54,कस्तो कुरा गर्छौ पत्रकार !,1,youtube
yt_55,राजा अाउ देस बचाउ ।,0,youtube
yt_56,यो पार्टी को झोले पत्रकार हो यसलाइ स्पष्टीकरण दिई रहन आवश्यक छैन द्वारिका जि ।,1,youtube
yt_57,मगन्ते हरू को नक्कली स्वागत ।,1,youtube
yt_58,सबै साला चोर हरु हुन गधा हरु नालायक हरु सबै लाई खोर मा जाग्नु पर्छ गरिब जनता को कर तिरे को पैसा ले यस्तो गर्ने लाई ।,1,youtube
yt_59,रबि सर हजुर लाई सधै भरि श्रिपशुपति नाथ ले रक्षा गरून् ।,0,youtube
yt_60,"जीव राम जी , एस्तो गम्बिर समस्या मा गम्भीर छलफल हुदा तपाई किन हासेर प्रस्तुत भए को ?",1,youtube
yt_61,मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया को दलाल भए पछि बिचरा मन्त्री को पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के को कार्वाहि ।,1,youtube
yt_62,गगन थापा यो देश र जनता ले आशा गरे का प्रतिभावान नेता हुन यीन ले सही बोले ।,0,youtube
yt_63,दशैँ तिहार को आस पास मा सि मा मा पुलिस को नियत छर्लङ हून्छ ।,1,youtube
yt_64,sojha नेपाली हरू लाई आत्याचार गर्ने तिमी हरू को kulat ।,1,youtube
yt_65,निखिल नेपाली नः 1 दिराे साथै बिचार पनि माहान छ ।,0,youtube
yt_66,यो सरकार ले गल्ती सुधार गर्ने र गल्ती गरे को छु भन्ने बोधनै गर्दैन अनि कसरि जनचाहना को कुरा गर्नु ।,1,youtube
yt_67,जे गर्नु भो मेयर साहव ले एकदम ठिक गर्नु भो ।,0,youtube
yt_68,राजतन्त्र आज को आवश्यकता जय नेपाल I हाम्रो राज हाम्रो देस प्राण भन्दा प्यारो छ I ।,0,youtube
yt_69,"निकै राम्रो काम गर्नु भयो रबि सर , हजुर त देश को भगवान हो l ।",0,youtube
yt_70,सबै भातामारा दाका हरु हुन कुलमान सर मात्रै हुन असल इमानदार ब्यक्ति हुनुहुन्छ उहाँ ।,0,youtube
yt_71,यो कार्यक्रम आए पछी दासै आ को जस्तो लाग्छ म लाई नि ।,0,youtube
yt_72,मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,1,youtube
yt_73,❣️ I ' m always with you rabi dai ।,0,youtube
yt_74,Question कहाँ बाट काह हो के यो ?,1,youtube
yt_75,हैन यो ईन्टर्भिउ लिने मान्छे त मोदि को जुवाई खलक होकि के हो प्रस्न सोधाई नै स्पस्टिकरण छैन त हो हैट ।,1,youtube
yt_76,यी लुट्न लाइसन्स पाए का नेता ले लाखाै लाख जनता मारेर कमाए का धनी भएर के गर्नु त्यहि धन रुवाइँ नै रहेछ ।,1,youtube
yt_77,प्रबक्ता एकदम हल्का र गलत तरिका ले आफ्नो भनाई राख्दैछ ।,1,youtube
yt_78,गगन थापा सबै भन्दा पहिला मेरो जय नेपाल तपाईं एउ टा भर पर्दाे र युवा नेता हाे अाशा काे दियाे हाे त्यसैले मेराे शुजाभ तपाई लाई भ्रष्टाचार र बेथिति बारे मा खुलेर बाेल्नुस जाे सुकै हाेस त्यस मा शेरे भएनि कारबाइकाे माग गर्नुस तब अाउने छ पहिलाे पाटि काग्रेश ।,0,youtube
yt_79,रबि दाइ लाइ देखदा गर्व ले छाती फुल्छ ।,0,youtube
yt_80,यो बिस्नु पौडेल को हनुमान हो ।,1,youtube
yt_81,"यो Dij ले जहि ले झुट बोल्छ , ज्ञानेन्द्र साही लाई हिरासत मा कुटपिट यत्ना दियो , अझै दिए को छैन भन्ने झोले होलि वाइन ।",1,youtube
yt_82,Yo नेकपा को नेता को कुरा सुन्दा ओलि को भतुवा झोले रहेछ ।,1,youtube
yt_83,प्रचण्ड भ्रष्टाचार हो दिन हरु नजिक आउदै छ गान्दै बस हामी छिटै तेरो घर मा आएर मर्दिने छु जनता को देश हो जनता को ताकत हेर्दै जानु हामी प्रचण्ड लाई यदि सजिलो गरि मर्ने छैन 17हजर मान्छे मरे को छु हामी अन्तर्राष्ट्रिय अदालत म मुद्दा हल्ने छु ।,1,youtube
yt_84,लास्ट मा यो सोम पान्डे गधा बोले को सुन्नैमन थीयन झन तेही खाते बोल्यो ।,1,youtube
yt_85,प्रस्न सोद्ने को गोरु हो ।,1,youtube
yt_86,फिङ्गर पिङ् गर्ने सिस्टम नै छैन हाम्रो देश नेपाल मा यदि फिङ्गर पिङ् सिस्टम हुन्थ्यो भने ति नाथे हरू अहिले नै जेल् मा सदिनेथिय ।,1,youtube
yt_87,प्रवक्ता को बोलि मा 1% पनि सहि छैन र बोलि मा कुनै तुक छैन ।,1,youtube
yt_88,"डिस लाइक हान्ने हरु माफीया , दलाल , भ्रस्टाचारी , लुटेरा हरु हुन ।",1,youtube
yt_89,नेपाल मा सहकारी को नाम मा बैकँक को नाम मा खाली गरीव दुखी जन्ता लुटने काम मात्र छ कहिले सम्म होला यस्तो नेपाल मा ।,1,youtube
yt_90,जन्ता को लगि राम्रो गर्नु भय को छ कुल्मान घिसिङ सर जय होस तपाईं को ।,0,youtube
yt_91,याे सावित्री काे अनुहार त भुत जस्तैः छ ।,1,youtube
yt_92,यो खाते साला phd हु भन्छ साला खाते साले के को phd हो तेरो चुतिया साला झोले कृस्रन को पैसा खायर पढे को होलास कुकुर ।,1,youtube
yt_93,"चोर हरु गल्ती स्विकार्नु त कहाँ हो कहाँ एक ले पहिले का लाई दोस लगाउदै जाने , स्साला भ्रष्ट हरुलाइ लाजै छैन ।",1,youtube
yt_94,यो पुणय महा झोले र भिजिलान्ते हो हरामी ।,1,youtube
yt_95,कुरो त सहि गरो है suddo ले ।,0,youtube
yt_96,news24 राम्रो काम जारी राख्नुहोस् ।,0,youtube
yt_97,गल्ती धाकछोप गर्न खोजी राखे को छ ।,1,youtube
yt_98,यस्ता पत्रकार लाई हटाउनु पर्छ यो के सि पनि गफडि मात्र हो तर यो पत्रकार भारत को पुच्छर हो घुसघुसे हो यो ऋषि ।,1,youtube
yt_99,साला दिलनिसानी मगर त चुपलाग साला खाते यो सब त जस्तो भस्ट्चार र घुस खोर र दालाल हरु को काम हो रबि सर लाई फसाउन लाई ।,1,youtube
yt_100,राताे काेट लगाउने भाईकाे कुरा एकदम सहिछ ।,0,youtube
yt_101,अपराधीक डाँ का नेता हरू सत्ता मा अनि पुलिसप्रशासन तिनै अपराधी नेता को गुलाम बनेर गुन्डागर्दी र अपराध मा संलग्न भए पछि त्यो देश मा बिद्रोह हुने निश्चित छ ।,1,youtube
yt_102,लाएन कात्छौ भन्दा भबिस्य को कुरा भनेर हास्ने चोर लाई चोरी को मुद्दा हाल्नु कुल्मान सर हामी हजुर को साथ मा छौ ।,1,youtube
yt_103,"धन्येबाद एभिन्वुज कार्येक्रम सन्चालक ज्यु , जब छान्बिन को प्रक्र्ये मा छ भने त्यो भिडियो प्रसारण गर्ने मिडिया नखोजि रबिलामिछाने लाइ हिरासत मा लाने वाआअ एस्लाइ प्रहरी को कालो कर्तुत अथबा भर्स्त हरु को दबाब को कारण कस्तो न्याए ?",1,youtube
yt_104,"अहिले भैरहे को पार्टी हरु मध्य राम्रो पार्टी र नेता हरु मध्य पनि राम्रो नेता ( बिचार , शैलि र आचरण को कारण ले ) रबिन्द्र मिश्र लाई सम्पुर्णरुप मा साथ सहयोग रहनेछ ।",0,youtube
yt_105,यो डा केसी को पनि काम छैन खाली आलोचना मात्रा गर्छ सिन्का भाच्दैन ।,1,youtube
yt_106,कुरो बुझ्दै जादा राम बहादुर बम्जन को आश्रम मा ठुलै राजनितिक संरक्षण छ !,1,youtube
yt_107,यो डिसलाइक गर्ने १२ जाना लाई रबि ज्यु हिरासत मा भए को मन पर्ने थिएछ भने पछि खाते हरु हो म त ईन्डिया बाट पनि कति खुशी छु रबि ज्यु बाहिर आउनु भए को मा ।,0,youtube
yt_108,प्रश्न साेधेकाे मन परेन ।,1,youtube
yt_109,राष्ट्र का सपुत रबि लामिछाने लाई सपोर्ट गर्ने हरू यता हाजिर गरौं ।,0,youtube
yt_110,सिधा कुरा जनता सग हेर्दा अलिकति गलत नियत भए जस्तो लागे को थियोे तर याे कार्यक्रम हेरेर स्पष्ट भयाे हजुर राम्रो विचार स्पष्ट वक्ता हुनुहुदाे रैछ ️ ️ ️ ️ ️ ️ ।,0,youtube
yt_111,आलु भन मुला ... .,1,youtube
yt_112,उध्योग ले पनि लुट्नुसम् मा लुटे को रहेछ ।,1,youtube
yt_113,Well come छ हाम्रो देश नेपाल मा ।,0,youtube
yt_114,यो डकैती गर्ने सहकारी लाई चाडो कारवाही होस रामकृष्ण ढकाल ले चाडो न्याय चाहियो ।,1,youtube
yt_115,Mayar sab ko छबि धमिल्याउने khojne patrakar le क्षेतिपुर्ती ब्यहोर्नु पर्छ✊ ।,1,youtube
yt_116,याे डिस लाईक गर्ने हरु को हात किरा परेर झरि जा वस ️ ️ ️ ️ ️ ️ ️ ।,1,youtube
yt_117,सरकारी संयन्त्र का प्रबक्ता हरु को काम भने कै झुट बोल्ने हो ।,1,youtube
yt_118,सबै पत्रकार ले भन्दिन तर केही पत्रकार ले नेपाली जनता मा भ्रम क छर्ने काम गरे को छ ।,1,youtube
yt_119,राम्रो बिचार मेयर साब ।,0,youtube
yt_120,नेकपा को छिटै पतान भको हेर्न चाहने हरू यत हाजीर हौ ।,1,youtube
yt_121,रवी दाई तिमी त डेङ्गो भन्दा पनि कडा रहेछौ हरेक नेपाली को रगत रगत मा सङ्क्रमित भएर बसे का छौ ।,1,youtube
yt_122,राणि को वान हरु ले ढाड भाँच्चिने गरि कर लादे को छ ।,1,youtube
yt_123,निखिल दाइ को कुरा एक्दमै पोजेटिभ कुरा गर्नु भयो सलुट छ दाइ ।,0,youtube
yt_124,हाम्रो आवाज बनेर फेरि रबि सर लाई कार्यक्रम मा देख्न याउदा ज्यादै खुशी छु ।,0,youtube
yt_125,"भष्टचारि कर्मचारी र पित , झाेले पत्रकारकाे नाक हैन ढाडकाे हट्डि नै भाच्न पर्छ ।",1,youtube
yt_126,भने को भा खोइत किशोर र करिश्मा को जवाफ कडा आयो रे हावा त अरु मिडिया हरु छन ।,1,youtube
yt_127,सुशील जि तपाईं को प्रस्न मा एकदम पूर्वाग्रहि भयो ।,1,youtube
yt_128,बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।,1,youtube
yt_129,रातो कोट जिन्दावाद निलो‌कोट मुर्दावाद ।,0,youtube
yt_130,रवि लामेछाने को फ्यान यता हाजिर हुम त ।,0,youtube
yt_131,"यो गोकुले चुतिया र खतरनाक छ , , , यस लाई राउन्ड किक हानेर नाँक को डाँडी भाँचिदिनुपर्छ ।",1,youtube
yt_132,सोम paande को काम छैन यस्लाइ त पार्टी बाट नि हटाउनु पर्छ ।,1,youtube
yt_133,"यो स्तर को अशिष्ट , असहिष्णु , अहम ले मैनत्त मान्छे लाई आफ्नो नेता भन्नुपर्दा नेकपा का नेताकार्यकर्ता लाई दुख लाग्छ कि लाग्दैन होला ?",1,youtube
yt_134,विद्यादेवी न बुद्धि ले न अनुहार ले देश को प्रतिनिधित्व गर्ने योग्य होइनन् ।,1,youtube
yt_135,कुल्मान घिसिङ सर ले गर्नत खोज्नुहुन्छ तर के गर्नु अर्को एउ टा भंडुवा निस्कन्छ ।,1,youtube
yt_136,रबि सर लाई नेपाल को प्रधानमन्त्री बनाउनै पर्छ भन्ने हरु को को हुनुहुन्छ ✊✊✊✊✊✊✊✊✊ ।,0,youtube
yt_137,के सारो हो पाटि को कुरा गरो कि अरिङ्गाल नै बन्नु पर्ने पाठक जि ।,1,youtube
yt_138,नारायण मान बिजुक्छेजी बेला बेला मा सही कुरा गर्नु हुन्छ ।,0,youtube
yt_139,जनता को नाम बेचेर कतिदिन खन्छ्न यी अरिगाल् हरु ।,1,youtube
yt_140,मेयर सयेब को काठमाडौं मा खाचो छ. काठमाडौं सम्हाल्नु आउनु पार्‍यो ।,0,youtube
yt_141,साला दिलनिसानी मगर त चुपलाग साला खाते यो सब त जस्तो भस्ट्चार र घुस खोर र दालाल हरु को काम हो रबि सर लाई फसाउन लाई ।,1,youtube
yt_142,यदि यस्तै पारा हो भने त्यों दिन आउन बेर लाग्दैन आफ्नो छोरी देखी जुवाई सम्म घर देखी ससुराली सम्म मात्र हेर्ने जनता को हालत के छ कहिले बुझे को छौ भ्रष्टाचारी हों आफु मात्र सुख सहेल मा बसेर हुन्छ ।,1,youtube
yt_143,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।,1,youtube
yt_144,कस्ताे दरिलाे प्रशन साेध्नुहुन्छ दाजु नमस्कार ।,0,youtube
yt_145,काङ्रेस चोर हो उधोग नदि नाला सक्यो कम्निस्ट डाका ज्यान मारा कर उठायो भन्सार उठायो खायो येहि रछ बिकास ।,1,youtube
yt_146,किन नहोस नेता र तिन का झोलेझाम्टे धनी !,1,youtube
yt_147,शिर न आफ्नो झुकाउछौ न तपाइ को झुक्न दिन्छौ ... .. सल्युट ।,0,youtube
yt_148,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।,1,youtube
yt_149,दिल निशानी साच्चै पागल भए को रहेछ ।,1,youtube
yt_150,साह्रै मातिन थाले यी so called communist हरु ।,1,youtube
yt_151,आफ्नो गरिमामय पद को पनि ख्याल नगरी बोल्ने व्यति लाई मेरो देश को रास्ट्रपति भन लाज लाग्छ ।,1,youtube
yt_152,"स्वर्गीय श्री मार्क्स तथा श्री लेलिन को जन्मभूमि मा हिउँ पर्दा , नेपाल मा कालो-काम्लो ओढ्ने लालबुझकट हरु सित होशियार !",1,youtube
yt_153,सलाम छ मेयर जि जेगर्नु भा को छ सहि गर्नु भा को छ ।,0,youtube
yt_154,नेपाल मा संघियता खारेज गर्नु पर्छ l ।,0,youtube
yt_155,नमस्कार भिमार्जुन सर निडर भयर बोल्नुस तपाई को साथ मा छौ हामी ।,0,youtube
yt_156,वा वा यो होनित साथ र समर्थन भने को बधाई छ सबै लाई !,0,youtube
yt_157,अब को प्रधानमन्त्री रबि सर नेइ हुनुपर्छ योनेई जनता को माग छ ।,0,youtube
yt_158,कोइराला को कुरा र साहस्लाइ Big salute !,0,youtube
yt_159,नेपाली ले जहि ले पनि अरु लाई राम्रो नै गर्छ ।,0,youtube
yt_160,यस्ता अविवेकी पत्रकार सङ्ग के अन्तर्वार्ता दिनु ।,1,youtube
yt_161,सेरे प्रचण्ड ओलि इ तीन जना लाई नाङ्गै बनायर सिमा कटाउनु पर्छ ।,1,youtube
yt_162,"माननीय कमेन्टर हरु , यता हाजिर र उता हाजिर भनेर बकवास गर्नु भन्दा बैचारिक कमेन्ट साथै समर्थन को योग्य धारण राख्नुहोला ।",0,youtube
yt_163,सचि नै रबि दाइ माहान हुनु हुन्छ ।,0,youtube
yt_164,यो जाठा पुग्ने गौतम कति सारो बाइस भएर कुरा गरे को छ्या कस्तो लाज मर्दो सिदै एस्तो गिन्लादो कुरा गरे को ।,1,youtube
yt_165,रवि सर मेरो बिन्ती छ एकदिन प्रेम सन्जेल सरलाइ ल्याउनु पर्यो उहा बाट धेरै दलाल को पर्दाफास हुनेछ ।,0,youtube
yt_166,कहाँ गयो त्यो रात दिन करायर हिड्ने पद्खोर सुरेन्द्र के सि ?,1,youtube
yt_167,"392 Dislikes Must be fan of खेम गुल्ले भन्डारी , ठिस मुकुन्दे एन्ड दिल ठिसानी मगर 🤣🤣🤣 ।",1,youtube
yt_168,"सागर जि गुड दनक दिनु भयो गौतमे झोले लाई , सहि जबाफ दिनु भए को मा thq हजुर लाई ।",0,youtube
yt_169,प्रधानमन्त्री मात्रै हावा क्मेडी भने को अब रास्ट्रपति जस्तो गरिमामय पद् को हावा बोल्ने सैलिइ यस्तो छ अनि नेपाल् भुत्रो को बन्छ ।,1,youtube
yt_170,जनमत संग्रह गरना सकने तेस को हिकमत छ भनेर सोद्नु त नेपाल मा स्याल हरु को रजाइँ छ नेपाल मा राजा आउनु परछ जन्ता ले सोच्नु पर्छ ।,1,youtube
yt_171,"यी दुई चोर नेता हरू ले तर्क गरे को होइन , यी भ्रष्ट रुए को हुन , यिनि हरु को एक शब्द सहि बोले को छैन ।",1,youtube
yt_172,मेयर साब सहि छन ।,0,youtube
yt_173,सावित्री ले सबै कुरा सिकायर लगेकाे रहेछ ।,0,youtube
yt_174,यो नेकपा को लाउरे कहाँ को कुरा कहाँ लगेर बिसयान्तर गर्दै छ ।,1,youtube
yt_175,"सुशासन रहित , भ्रष्ट ब्यक्ति हरु सत्ता मा रहे को स्थिरता झनै खतरनाक छ ।",1,youtube
yt_176,तिमी पार्टी का झोले कुलंगार ढुपौरे भन्दा राजा लाखौं गुणा देश र जनता प्रति प्रतिबद्ध छन् र माया उनी लाई यो माटो को छ ।,1,youtube
yt_177,सुशील सर आईन्धा यो पुलिस डिपार्टमेन्ट को कुनै पनि मान्छिलाइ ड्रेस मा निम्तो न गर्दिनु होला किना कि इनि हरु ले ड्रेस् को मुल्लेनै थाहा छैना एति गाली गर्ना मन छ कि यो पुलिस भन्ने जन्तु हरु लाई भन्ने साधे नै छैना ।,1,youtube
yt_178,जहाँ सम्म लाग्छ जन्ता ले चायो भने जन्ता को भावना बुजेर एउ टा सच्चा देश को प्रधान मन्त्री हुनै पर्छ रबि सर हजुर लाई ३करोडौ जन्ता को समर्थक हुने छ ।,0,youtube
yt_179,म लाई एकपटक यो सुर्य पाठक भन्ने अरिङ्गाल संग भिडनु मन छ ।,1,youtube
yt_180,अनि डाक्टर सुरेन्द्र केसि बोल्ने मात्रै हो मैदान मा निस्केर काम गर्नु डराउछ ।,1,youtube
yt_181,अब फेरि टीकापुर को घट्ना दोहोर्याउन पर्यो सुन चोर हरु माथि ।,1,youtube
yt_182,यी भ्रष्ट गोरु हरुला नौडाडा समुन्द्र पारी नकटाई जनता को अर्को बिकल्प छैन अब जागौ सबै जागौ बेलै मा जागौ ।,1,youtube
yt_183,दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।,1,youtube
yt_184,"सब केपि ले सिकाएछ , यत्रो बर्ष बुझने अहिले नबुझ्ने , तिमी चाइ कुन चाहिँ राम्री होउ र छि छि ।",0,youtube
yt_185,नेपालि को इज्जत फाक्यो कुकुर कुकुर्नी हरु ले पाहुनालाइ राम्रो सङ स्वागत गरेन कम्सेकम २ हात जोदि नमस्ते त गर्नु पर्छ नि ।,1,youtube
yt_186,सबै भ्रष्टाचारी हुन हामी जनताकाे रस चुसेर बस्ने हुन ।,1,youtube
yt_187,रातो कोट लाउने कुरा एक दम जाएज छ ।,0,youtube
