id,text,label,dataset,text_en,back_ne
tw_5817,यस्तो कोभिड को अवस्थामा करीब करोड नगद बरावरको विभुषण पदक अलंकार हुनेखानेलाई बाँड्नु भन्दा भोकाएका खान नपाएका मजदुर गरीवहरू बाँडेको भए सरकारको कति पुण्य कार्य हुन्थ्यो होला,1,twitter,"In the case of COVID, rather than distributing the decoration of nearly a million cash bars, the government would have done a more meritorious job of distributing the poor, hungry, and unfed workers.","कोभिडको अवस्थामा, सरकारले झन्डै एक लाख नगद बारको सजावट वितरण गर्नुको सट्टा, गरीब, भोकमरी र अण्डा खाई काम गर्ने काम गरिने काम अझ राम्रोसँग गरेको थियो।"
tw_1171,बेलायतमा वर्षीया वृद्धले लगाइन् कोभिड विरुद्धको पहिलो खोप,1,twitter,"In the UK, a year-old man received his first vaccine against COVID.",बेलायतमा एक वर्षका एक पुरुषले पहिलो पटक कोभिडविरुद्धको खोप पाएका थिए ।
tw_30519,कोभिड इमर्जेन्सी फन्ड मा अफगानिस्तान श्रीलंका र बंगलादेशको सहयोग,1,twitter,Cooperation between Sri Lanka and Bangladesh in the COVID Emergency Fund for Afghanistan,अफगानिस्तानको लागि कोभिड आपतकालीन कोषमा श्रीलंका र बंगलादेशबीचको सहयोग
tw_1754,स्वास्थ्य तथा जनसंख्यामन्त्री भानुभक्त ढकालले कोभिड विरुद्धको भ्याक्सिन प्रमाणित भएर बजारमा आउनेबित्तिकै नेपालीले पनि प्रयोग गर्न पाउने दाबी गरेका छन्,1,twitter,"Health and Population Minister Bhanuvatna Dhakal has claimed that once the COVID vaccine is certified and comes to market, Nepalese can also use it.",स्वास्थ्य तथा जनसंख्या मन्त्री भानुवतना ढकालले एकपटक कोभिड खोप प्रमाणित भएपछि र बजारमा आएपछि नेपालीहरूले पनि यसको प्रयोग गर्न सक्ने बताएका छन् ।
tw_4938,कोभिड लागेपछि हाम्रा नेताहरुको मति सुध्रिन्छ कि,-1,twitter,"After the COVID outbreak, the opinion of our leaders has improved.",कोभिडको प्रकोपपछि हाम्रा नेताहरूको धारणा सुधार भएको छ।
tw_2850,अमेरिकामा राष्ट्रपतिको निर्वाचन नजिकिँदा कोभिड संक्रमण दर बढ्दो,-1,twitter,"As the US presidential election approaches, the COVID infection rate is increasing.",अमेरिकी राष्ट्रपति चुनाव नजिकिँदै जाँदा कोभिड संक्रमण दर बढ्दै गएको छ ।
tw_30244,कोभिड सम्बन्धमा जानकारी तथा उपचारको लागि सम्पर्क,1,twitter,Contact for information and treatment regarding COVID.,कोभिड सम्बन्धी जानकारी र उपचारको लागि सम्पर्क गर्नुहोस्।
tw_24858,नयावर्ष सालको पावन अवसरमा मेरा सबै मित्रहरू दाजुभाई दिदीबहिनी तथा सामाजिक सज़ाल जोडिनुभएको सबैमा हार्दिक शुभकामना कोभिड बाट चाडै मुक्त हुन पाइयोस माया अनि सद्भाव बढोस्,1,twitter,"On the occasion of the New Year's Eve, my best wishes to all my friends, brothers and sisters, and all those connected by social justice, may they be free from COVID and may they grow in love and harmony.","नयाँ वर्षको अवसरमा, मेरा सबै साथीहरू, भाइबहिनीहरू र सामाजिक न्यायद्वारा जोडिएका सबैलाई मेरो शुभकामना, तिनीहरू COVID बाट मुक्त हुन र प्रेम र सद्भावमा बढ्न सकून्।"
tw_16380,सरकारले कोभिड को महामारीका कारण बेरोजगार भएका युवाहरूलाई रोजगारी दिलाउन अर्ब रूपैयाँ विनियोजन गरेको छ,1,twitter,The government has allocated billions of rupees to provide employment to the youth unemployed by the COVID pandemic.,सरकारले कोभिड महामारीका कारण बेरोजगार युवाहरूलाई रोजगारी प्रदान गर्न अरबौं रुपैयाँ विनियोजन गरेको छ।
tw_6006,पछिल्लो घण्टामा जनाका कोरोना भाइरस कोभिड को संक्रमण पुष्टि भएको छ यो सहित संक्रमितको संख्या हजार पुगेको छपछिल्लो घण्टामा जना कोरोना जितेर डिस्चार्ज भएका छन् योसँगै कुल डिस्चार्ज हुनेको संख्या हजार पुगेको छ,0,twitter,"In the last hour, people have been confirmed infected with the coronavirus COVID-19 infection, including the number of infected people to six thousand.In the last hour, people have been discharged after winning the coronavirus, while the total number of discharged has reached a thousand.","पछिल्लो घण्टामा कोरोनाभाइरसको संक्रमणको पुष्टि भएको छ, कोरोनाभाइरसको संक्रमणको संख्या ६ हजार पुगेको छ। पछिल्लो घण्टामा कोरोनाभाइरस जितेर व्यक्तिहरूलाई डिस्चार्ज गरिएको छ, जबकि डिस्चार्ज हुनेहरूको कुल संख्या एक हजार पुगेको छ।"
tw_1594,एसियन इन्स्टिच्युट अफ डिप्लोमेसी एन्ड इन्टरनेसनल अफेयर्सको कार्यक्रममा शृंगलाले सालको भूकम्पमा नेपाललाई सबैभन्दा पहिले सहयोग गर्ने मुलुक भारत भएको भन्दै कोभिड विरुद्धकाे खोपमा पनि नेपाललाई प्राथमिकतामा राख्ने बताए,1,twitter,"Speaking at the Asian Institute of Diplomacy and International Affairs, Mr. Shringla said that India was the first country to assist Nepal in the earthquake of the year, and that India would also give priority to Nepal in the COVID vaccine.",एसियाली कूटनीति तथा अन्तर्राष्ट्रिय मामिला संस्थानमा बोल्दै श्री श्रीङ्ग्लाले भारतले नेपाललाई यस वर्षको भूकम्पमा सहयोग गर्ने पहिलो देश भएको र भारतले नेपाललाई कोभिड खोपको लागि पनि प्राथमिकता दिने बताएका थिए ।
tw_9901,कोभिड संकट व्यवस्थापन केन्द्र सिसिएमसी को विद्यार्थी भर्ना र परीक्षा सञ्चालन असोज बाट गर्ने प्रस्ताव,0,twitter,The proposal to make the Centre for COVID Crisis Management (CICMC) a student admissions and examination centre from the beginning.,केन्द्र कोभिड संकट व्यवस्थापन (सीआईसीएमसी) को शुरुवातदेखि नै विद्यार्थी भर्ना र परीक्षा केन्द्र बनाउने प्रस्ताव छ।
tw_9907,कोभिड बाट मृत्यु भएकामध्ये दीर्घरोगी,-1,twitter,"Among those who have died from COVID, the number of people with a history of hearing loss is higher.",कोभिडबाट मृत्यु भएकाहरूमध्ये श्रवण हानिको इतिहास भएका व्यक्तिको संख्या बढी छ।
tw_2426,कोभिड संक्रमणमा भेन्टिलेटरको भूमिका प्रयोग गर्ने विधि र आवश्यकताका,1,twitter,The method and requirements for using the ventilator's role in COVID infection,कोभिड संक्रमणमा भेन्टिलेटरको भूमिका प्रयोग गर्ने विधि र आवश्यकताहरू
tw_16117,कोभिड रोकथाम तथा नियन्त्रणका लागि सेना परिचालन गरिने,0,twitter,The military will be deployed to prevent and control COVID.,सेनालाई कोभिडबाट बच्न र नियन्त्रण गर्न लगाइनेछ ।
tw_5501,अनिल पोख्रेल र मेरो लेख आजको नागरिक दैनिकमा कोभिड खोप विकासमा हतारो,0,twitter,Anil Pokhrel and my article in Today's Citizen's Daily on the development of COVID vaccine,अनिल पोख्रेल र मेरो आज नागरिक दैनिकमा प्रकाशित लेखमा कोभिड खोपको विकासको बारेमा लेखिएको थियो।
tw_29100,कोभिड विरुद्धको लडाईंमा नेकपा अध्यक्ष पुष्पकमल दाहाल प्रचण्डको अपिल भिडियो र अपिलसहित,1,twitter,"In the fight against COVID, the NECPA chairman Pushkamal Dahal made a huge appeal, including video and appeals.",कोभिडविरुद्धको लडाईमा नेकपाका अध्यक्ष पुष्कल दाहालले भिडियो र अपील सहित ठूलो अपील गरेका थिए ।
tw_7205,हेलचेक्र्याइँले कोभिड सङ्क्रमण र मृतक बढ्दै,-1,twitter,Healthcare is increasingly affected by COVID-19 infections and deaths.,स्वास्थ्य सेवा COVID-19 संक्रमण र मृत्यु द्वारा बढ्दो प्रभावित छ।
tw_5889,नेपालमा कोरोना भाइरस कोभिड को प्रभाव निरन्तर बढिरहेको छ स्वास्थ्य तथा जनसंख्या मन्त्रालयकाअनुसार देशभर हजार सय जना सक्रिय संक्रमित रहेका छन्,-1,twitter,"The impact of the coronavirus COVID-19 in Nepal is continuously increasing according to the Ministry of Health and Population, there are hundreds of thousands of active cases across the country.",नेपालमा कोरोना भाइरस कोभिड-१९ को प्रभाव निरन्तर बढ्दै गएको स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार देशभर सयौं हजार सक्रिय संक्रमित छन् ।
tw_16191,कोभिड र लकडाउन टेलिभिजन दर्शकमा भारी वृद्धि डिजिटल मिडियाले तान्यो सबैलाई,0,twitter,"COVID and the lockdown have led to a huge increase in television viewership, with digital media attracting everyone.","कोभिड र लकडाउनले टेलिभिजन दर्शकको संख्यामा ठूलो वृद्धि भएको छ, डिजिटल मिडियाले सबैलाई आकर्षित गरेको छ।"
tw_10146,पछिल्लो घण्टामा काठमाण्डौं उपत्यकामा सय जनामा कोभिड कोरोना भाइरस संक्रमण पुष्टि,-1,twitter,"In the last hour, hundreds of people in the Kathmandu Valley have been confirmed infected with the COVID-19 coronavirus virus.","पछिल्लो घण्टामा, काठमाडौं उपत्यकामा सयौं मानिसहरु कोभिड-१९ कोरोना भाइरसबाट संक्रमित भएको पुष्टि भएको छ।"
tw_22822,कोभिड भाइरसलाई गर्मीले कुनै असर नगर्ने र सामाजिक दूरी कायम राख्नु नै उत्तम उपाय भएको हार्वर्डका अनुसन्धाताले बताएका छन् यसो गरे गम्भीर बिरामी नहुने र अस्पतालको चाप पनि नबढ्ने उनीहरूको भनाइ छ,1,twitter,"Harvard researchers say that the best way to treat COVID-19 is to maintain social distancing and not be exposed to heat, so they say that it will not cause serious illness or increase the pressure of hospitalization.","हार्वर्डका अनुसन्धानकर्ताहरूले COVID-19 को उपचारको लागि उत्तम तरिका सामाजिक दूरी कायम गर्नु र तातोको जोखिममा नपर्नु हो भन्छन्, त्यसैले तिनीहरू भन्छन् कि यसले गम्भीर रोग निम्त्याउँदैन वा अस्पताल भर्नाको दबाब बढाउँदैन।"
tw_32332,मुख्यसचिव लोकदर्शन रेग्मीको अध्यक्षतामा रहेको कोभिड रोग रोकथाम तथा नियन्त्रणसम्बन्धी एक्सन टिम ले पाँचवटा ठूला अस्पताललाई सिल गरेर आइसोलेसन केन्द्र बनाउने निर्णय गरेको हो,1,twitter,"The COVID-19 prevention and control action team, headed by Secretary General Lok Darshan Regmi, has decided to close five major hospitals and establish isolation centers.",महासचिव लोकदर्शन रेग्मीको नेतृत्वमा कोभिड-१९ रोकथाम र नियन्त्रण कार्यदलले पाँच प्रमुख अस्पताल बन्द गर्ने र आइसोलेशन केन्द्र स्थापना गर्ने निर्णय गरेको छ ।
tw_25411,अमेरिकामा कोरोना भाइरसको महामारीले स्थिर रुप लिएको विज्ञले बताएका छन् ह्वाइट हाउस कोभिड टास्क फोर्सका विज्ञहरुले अमेरिकामा कोरोना भाइरसको संक्रमण स्थिर हुन थालेको र अब केही सयमपछि ओरालो लाग्ने बताएका हुन्,1,twitter,"According to an expert on the coronavirus pandemic in the United States, experts from the White House COVID Task Force said the coronavirus infection in the United States has stabilized and will now be in a few hours.",अमेरिकामा कोरोना भाइरसको महामारीको बारेमा एक विज्ञका अनुसार व्हाइट हाउसको कोभिड टास्क फोर्सका विज्ञहरूले भने कि अमेरिकामा कोरोना भाइरस संक्रमण स्थिर भएको छ र अब केही घण्टामा यो हुनेछ।
tw_24577,कोरोनाभाइरस नेपालमा कोभिड का मृत्युदर धेरै कम हुने प्रख्यात विश्वविद्यालयको अध्ययन,1,twitter,A study by a well-known university found that the death rate from COVID-19 in Nepal was much lower than in the previous year.,एक प्रसिद्ध विश्वविद्यालयको अध्ययनले पत्ता लगायो कि नेपालमा COVID-19 बाट मृत्यु दर अघिल्लो वर्षको तुलनामा धेरै कम थियो।
tw_19622,विश्वको ध्यान अहिले कोभिड मा केन्द्रित भइरहेका बेला वैशाखमा भारतले नेपालको भूमिसमेत प्रयोग गर्दै धार्चुलादेखि लिपुलेक जोड्न सडक उद्घाटन गर्नु गम्भीर घटना भएको मन्त्री ज्ञवालीले बताएका छन्,1,twitter,"As the world's attention is now focused on COVID, in Vaishaq, India's opening of the road to connect Dhartula to Lipulek using the land of Nepal, including the land of Vaishaq, is a serious event, said Minister ज्ञवाली.","विश्वको ध्यान अहिले कोभिडमा केन्द्रित भएकोले वैशाखमा भारतले नेपालको भूमि, वैशाखको भूमिसहित नेपालको भूमि प्रयोग गरी धारतुलालाई लिपुलेकसँग जोड्ने सडक खोल्ने काम गम्भीर घटना भएको मन्त्री ज्ञवालीले बताइन् ।"
tw_11201,कोभिड का कारण थिलो थिलो भए जनता स्थानिय तहले बनाए कमाई खाने भाँडो कांग्रेस नेता शाही,-1,twitter,"If the COVID-19 slowdown is slow, the people will be earning their livelihoods locally and eat their own dishes, and the Congress leader, Shah.","यदि कोभिड-१९ को गति सुस्त छ भने, जनताले स्थानीय स्तरमा आफ्नो जीविका कमाउन र आफ्नै खाना खान र कांग्रेस नेता शाहलाई पनि खान पाउने छन् ।"
tw_12248,कोशी अस्पताल कोभिड उपचार केन्द्र विराटनगरबाट मङ्गलबार छ वर्षिया बालिका निको भै घरजान लाग्दा विदाई गर्दै केन्द्र व्यवस्थापन सदस्य ध्रुव उराँव र स्वास्थ्यकर्मीहरु तस्वीर मनोज दाहाल रासस,1,twitter,"Kochi Hospital COVID Treatment Centre from Viratnagar on Tuesday, a six-year-old girl was taken home and said goodbye to the centre's management member, Druav Urai and health workers photo Manoj Dahal Rasas","कोची अस्पतालको कोभिड उपचार केन्द्र विराटनगरबाट मंगलबार, ६ वर्षीया बालिकालाई घर लगेर उक्त केन्द्रका व्यवस्थापन सदस्य द्रौव उराई र स्वास्थ्यकर्मीको फोटोमा रहेको मनोज दाहाल रसाससँग बिदाइ गरेकी थिइन् ।"
tw_33052,भारतको राजधानी नयाँ दिल्लीमा एकजना भारतीयमा कोभिड को संक्रमण रहेको पुष्टि भएको छ नयाँ दिल्लीमा पनि एकजनामा कोभिड देखियो,-1,twitter,"One Indian in the capital of India, New Delhi, has been confirmed to have COVID infection.",भारतको राजधानी नयाँ दिल्लीमा एक भारतीयमा कोभिड संक्रमण पुष्टि भएको छ ।
tw_20833,वैशाखमा भारतको धार्चुलाबाट उद्धार गरि ल्याइएका बैतडीका एक वृद्धको स्थानीय तहले बनाएको क्वारेन्टाइनमा लैजाँदै गर्दा मृत्यु भएको छ कोभिड कोरोना,-1,twitter,A Bethica rescued from Darchula in India in Vaishaq has died while taking an elderly man to a local quarantine.,भारतको वैशाकमा रहेको दार्चुलाबाट उद्धार गरिएको बेथिकाको मृत्यु भएको छ जब उनी एक वृद्धलाई स्थानीय क्वारेन्टाइनमा लैजान्छन् ।
tw_1427,कोभिड पश्चातको उत्कृष्ट पुनरागमनको सुनिश्चितता अपाङ्गता भएका व्यक्तिहरुको पहुँच र दीगो विकासको लागि हामी सबैको प्रतिवद्धता भन्ने राष्ट्रिय मूल नाराका साथ औं अन्तराष्ट्रिय अपाङ्गता दिवस मनाईदै छ अपांगता भएका व्याक्तिको अधिकार प्रवर्धनको सरोकारवाला तपाईं हामी सबै हौ,1,twitter,"The International Day of Disability is celebrated with the national motto of ""Our commitment to all people with disabilities' access to and sustainable development"", to ensure a remarkable post-COVID recovery.","अन्तर्राष्ट्रिय अपाङ्गता दिवसको राष्ट्रिय नारा ""सबै अपाङ्गता भएका व्यक्तिहरूको पहुँच र दिगो विकासका लागि हाम्रो प्रतिबद्धता"" रहेको छ, जसले उल्लेखनीय पोस्ट-कोभिड रिकभरी सुनिश्चित गर्न मद्दत गर्दछ।"
tw_3553,राष्ट्रिय मानव अधिकार आयोगले कोभिड को जटिल परिस्थितिमा सङ्क्रमित बिरामीको निशुल्क स्वास्थ्य उपचारको व्यवस्था गर्न माग गरेको छ,1,twitter,The National Human Rights Commission has called for free medical treatment of COVID-infected patients in complex situations.,राष्ट्रिय मानव अधिकार आयोगले जटिल अवस्थामा कोभिड संक्रमित बिरामीहरूको निःशुल्क उपचारको लागि आह्वान गरेको छ।
tw_32874,कोभिड वाला भाइरस हाम्रा देश का अति बिशिस्ट भनिने र आतन्क फैलाउने वाला हरुको यस्लाइ हेर्ने दृस्टिकोण ले झन बढि शक्त्तिशालि भएको देखिन्छ रोगको उपचार सम्भव छ तर अनावश्यक त्रासको उपचार छैन अहिलेलाई सावधानी अपनाअौ सचेत बनौकति मानिस त्रासले नै गलिसके,1,twitter,"The COVID virus seems to be becoming more and more powerful from the perspective of our country's so-called ultra-specialist and infectious diseases, as it is called, from the perspective of the people who spread the virus.","कोभिड भाइरस हाम्रो देशको तथाकथित अति-विशेष र संक्रामक रोगहरूको दृष्टिकोणबाट, जसलाई यो भनिन्छ, भाइरस फैलाउने व्यक्तिको दृष्टिकोणबाट, अधिक र अधिक शक्तिशाली हुँदै गइरहेको देखिन्छ।"
tw_29523,सुदूरपश्चिम क्षेत्रबाट स्याम्पल परीक्षणका लागि पठाउन अहिले निकै असहज भइरहेको विषयमा समेत संघीय ध्यानाकर्षण गराइएको छ कोभिड कोरोना,1,twitter,"Federal attention has been drawn to the fact that sending samples from the Far West for testing is now very uncomfortable, including the issue of COVID-19 coronavirus.","संघीय ध्यान केन्द्रित गरिएको छ कि परीक्षणको लागि सुदूर पश्चिमबाट नमूनाहरू पठाउनु अब धेरै असहज छ, COVID-19 कोरोना भाइरसको मुद्दा सहित।"
tw_30844,कोभिड को अर्थ को अर्थ कोरोना को अर्थ भाइरस र को अर्थ डिजिज रोग हो र यो सन् मा देखापरेको ले भनिएको हो,-1,twitter,The meaning of COVID is coronavirus and the meaning of disease is disease and it is said to have occurred in the past.,कोभिडको अर्थ कोरोना भाइरस हो र रोगको अर्थ रोग हो र यो विगतमा भएको बताइएको छ।
tw_11887,माैद्रिक नीतिका सन्दर्भमा आज सङ् घीय संसद्को अर्थ समितिमा छलफल कोभिड का कारण वित्तीय क्षेत्रमा परेको प्रभावलाई न्यून गर्नेगरी सबैलाई खुशी बनाउने,1,twitter,"In the context of monetary policy, today's discussion in the Finance Committee of the European Parliament was held in the context of the financial sector, making everyone happy in reducing the impact of COVID on the financial sector.","मौद्रिक नीतिको सन्दर्भमा, आजको छलफलको लागि युरोपियन संसदको वित्त समितिमा वित्तीय क्षेत्रको सन्दर्भमा आयोजित गरिएको थियो, जसले सबैलाई वित्तीय क्षेत्रमा COVID को प्रभाव कम गर्न खुसी बनायो।"
tw_6386,कोभिड रोकथाम तथा नियन्त्रणका लागि कुमारी बैंकबाट महेन्द्रनगरमा सामाजिक सचेतना कार्यक्रम,1,twitter,A social awareness programme in Mahendranagar from the Virat Bank for COVID prevention and control.,कोभिड रोकथाम र नियन्त्रणका लागि विराट बैंकबाट महेन्द्रनगरमा सामाजिक जागरूकता कार्यक्रम।
